Category,Agent_Rating,Weather,Distance_km,Agent_Age,Order_Time,Traffic,Vehicle,Pickup_Time,Order_Date,Drop_Longitude,Drop_Latitude,Store_Longitude,Store_Latitude,Delivery_Time
10,4.8,2,20.13775691483711,31,139,1,0,156,39,80.381865,13.196762,80.251865,13.066762,265
9,4.2,3,1.5103108007659516,34,7,2,0,10,28,75.896362,22.771593,75.886362,22.761593,165
15,4.8,1,3.138069407388937,39,20,2,0,24,40,0.02,0.02,0.0,0.0,100
3,5.0,0,1.5341084981792636,35,43,0,0,51,28,78.41035,17.441477,78.40035,17.431477,165
7,3.2,4,10.42101406858604,20,175,2,1,2,33,75.907333,26.836536,75.837333,26.766536,170
6,4.1,3,13.94371116839474,36,129,1,1,145,43,80.340744,13.095801,80.250744,13.005801,180
11,4.8,0,1.5179748068733323,27,23,2,0,30,18,72.805503,21.185975,72.795503,21.175975,80
0,4.2,3,20.16747676677057,21,102,3,0,114,9,76.755861,12.414747,76.625861,12.284747,155
5,5.0,2,8.91888668509988,34,129,1,1,144,2,78.104095,27.220934,78.044095,27.160934,31
11,4.7,3,6.136519522327368,23,87,3,0,98,12,78.369645,17.451028,78.329645,17.411028,65
9,4.5,3,2.976159387613671,31,19,2,0,24,28,75.812934,26.922908,75.792934,26.902908,120
12,4.5,0,12.393068064322298,24,111,3,1,124,39,80.331865,13.146762,80.251865,13.066762,130
15,4.6,2,7.432528993995652,29,162,2,0,180,4,78.061544,27.211661,78.011544,27.161661,95
10,4.5,5,19.94033887231402,20,104,3,0,116,27,78.53035,17.561477,78.40035,17.431477,95
12,5.0,3,5.951882955208027,36,71,0,1,81,24,75.837282,26.951927,75.797282,26.911927,125
11,4.8,4,9.177783656275444,34,134,1,0,150,28,73.898429,18.57421,73.838429,18.51421,115
12,4.3,3,3.0985746646299552,21,22,2,0,28,38,80.25311,13.065479,80.23311,13.045479,75
0,5.0,2,9.297354296194785,38,144,1,0,161,30,77.676155,12.994365,77.616155,12.934365,130
13,4.9,2,2.9923852201337,37,32,2,0,38,2,81.854502,25.474648,81.834502,25.454648,100
13,4.5,3,6.071715179305134,39,49,0,1,57,12,72.830489,21.210798,72.790489,21.170798,130
12,5.0,3,9.294529903305804,37,111,3,0,125,16,80.279104,13.151809,80.219104,13.091809,135
0,4.8,3,12.396259636749216,34,115,3,1,128,13,77.694293,13.013298,77.614293,12.933298,105
9,4.5,0,6.198367825068356,27,55,0,1,63,20,77.654293,12.973298,77.614293,12.933298,145
4,4.6,0,9.329056084403875,34,171,2,0,189,20,77.000432,11.08091,76.940432,11.02091,90
1,3.7,4,9.074511964797065,23,146,1,0,162,42,73.218921,22.370237,73.158921,22.310237,205
15,5.0,1,9.046831077307552,25,154,1,1,172,0,77.461663,23.294631,77.401663,23.234631,165
15,4.7,1,7.774411302442309,24,131,1,0,147,40,77.00295,11.060375,76.95295,11.010375,120
1,4.7,4,13.805672692220188,32,112,3,0,125,27,78.494423,17.518294,78.404423,17.428294,130
12,5.0,1,4.521743441360151,23,130,1,0,144,38,85.355447,23.389194,85.325447,23.359194,135
3,4.4,4,6.136161459879009,27,75,0,0,84,32,78.426744,17.473809,78.386744,17.433809,245
6,4.5,5,10.666345347706631,34,169,2,0,187,7,75.437127,19.945522,75.367127,19.875522,90
10,4.9,1,11.903260418531731,29,142,1,1,158,27,75.873007,26.98294,75.793007,26.90294,185
13,4.5,5,7.535714912807709,26,163,2,1,181,18,85.38982,23.419746,85.33982,23.369746,95
4,4.6,4,9.041800997209414,29,134,1,1,149,28,85.450464,23.45925,85.390464,23.39925,80
0,4.6,2,9.107291566563282,21,104,3,0,118,18,72.850489,21.230798,72.790489,21.170798,140
13,4.5,4,13.76536960043246,22,102,3,0,114,35,73.98852,18.62408,73.89852,18.53408,60
6,3.7,2,12.393597939827014,32,132,1,1,148,11,80.34147,13.124694,80.26147,13.044694,175
7,4.1,3,20.14112443663039,39,120,3,0,133,27,77.770489,13.11041,77.640489,12.98041,175
3,4.9,4,13.46424213375664,36,125,1,1,139,3,81.926167,25.539872,81.836167,25.449872,80
13,4.8,3,13.962610508154096,26,158,2,1,175,25,76.715861,12.374747,76.625861,12.284747,75
15,4.8,5,16.63518098792841,30,111,3,2,125,21,73.275012,22.421603,73.165012,22.311603,130
3,4.8,0,4.463967267078257,39,152,1,0,168,28,75.78282,26.943726,75.75282,26.913726,145
2,4.9,5,7.562215964137628,32,157,2,1,174,40,73.208921,22.360237,73.158921,22.310237,100
13,4.9,5,3.138069407388937,20,40,0,1,46,6,0.02,0.02,0.0,0.0,90
15,5.0,4,10.846813053923176,26,103,3,0,117,9,77.685797,13.004179,77.615797,12.934179,75
14,4.9,3,3.0984626543696816,37,29,2,1,34,28,80.256442,13.084181,80.236442,13.064181,125
11,4.6,0,17.064481964903436,28,126,1,1,140,29,76.753622,12.414569,76.643622,12.304569,170
8,4.8,0,12.272038962044778,29,150,1,0,168,15,78.529578,17.502819,78.449578,17.422819,225
11,4.8,1,4.648812589303729,22,117,3,0,130,14,77.645797,12.964179,77.615797,12.934179,130
14,4.7,5,2.9810670001645105,31,22,2,1,26,2,80.333564,26.491617,80.313564,26.471617,130
6,4.8,4,12.552275755914394,20,107,3,0,121,17,0.08,0.08,0.0,0.0,85
0,4.8,4,1.5297939730751242,30,35,0,0,42,22,73.840328,18.546719,73.830327,18.536718,120
13,4.2,3,4.521558384389735,28,175,2,0,2,32,85.357872,23.401292,85.327872,23.371292,95
1,4.8,1,1.55490238236473,31,29,2,0,36,36,77.005667,11.032477,76.995667,11.022477,110
7,4.7,0,3.0537978384131423,30,26,2,1,32,32,72.856191,19.2013,72.836191,19.1813,80
14,4.7,0,10.983241696284244,35,162,2,0,180,13,0.07,0.07,0.0,0.0,210
8,4.7,4,7.61905097889762,33,101,3,0,115,4,75.372405,19.925016,75.322405,19.875016,140
5,4.8,1,9.107220024938371,38,129,1,0,145,34,72.852731,21.233343,72.792731,21.173343,28
7,2.7,4,10.432747883691096,26,165,2,0,183,7,80.383458,26.541529,80.313458,26.471529,155
4,5.0,2,1.5690347154047224,20,33,2,1,38,14,0.01,0.01,0.0,0.0,60
13,5.0,1,4.654234974134329,35,161,2,0,179,40,76.684878,12.341072,76.654878,12.311072,85
7,4.8,3,2.9761660298267127,35,13,2,2,19,18,75.814257,26.922328,75.794257,26.902328,135
14,4.9,1,4.464153158899913,29,129,1,1,143,22,75.822934,26.932908,75.792934,26.902908,150
3,4.2,3,3.0989894697047937,35,11,2,0,14,42,80.241898,12.995996,80.221898,12.975996,120
7,4.7,4,19.37215596310674,23,125,1,0,140,1,80.429775,26.611547,80.299775,26.481547,75
13,4.7,2,16.82479191121949,30,136,1,1,153,9,73.948429,18.62421,73.838429,18.51421,150
5,4.1,4,10.472555237349544,35,133,1,0,148,5,81.901681,25.520317,81.831681,25.450317,32
2,4.9,5,20.245088582260827,21,157,2,0,175,1,76.415447,10.100717,76.285447,9.970717,70
13,4.4,0,17.040537813695984,26,153,1,0,170,31,80.352268,13.159645,80.242268,13.049645,190
4,5.0,3,13.868094237210704,26,141,1,1,156,5,73.856883,15.664828,73.766883,15.574828,135
14,4.7,2,19.85650618354499,22,136,1,1,152,17,72.95765,19.133517,72.82765,19.003517,75
4,4.4,2,4.707104052532131,37,125,1,1,141,26,0.03,0.03,0.0,0.0,170
11,4.6,1,6.11827161768149,36,51,0,0,59,38,73.937902,18.579299,73.897902,18.539299,125
5,4.6,3,3.102699143101552,29,16,2,1,22,24,76.636792,12.357978,76.616792,12.337978,11
1,3.9,1,19.8823960800054,39,168,2,1,186,39,73.958972,18.660963,73.828972,18.530963,190
7,4.3,5,20.82739476338585,35,114,3,0,127,17,75.945704,27.054142,75.805704,26.914142,155
3,4.2,0,13.946200129119886,33,158,2,1,175,43,77.773237,13.003041,77.683237,12.913041,175
15,4.7,3,6.028567025412911,23,70,0,0,81,10,85.375486,23.414989,85.335486,23.374989,140
1,4.8,1,16.57770577723575,27,128,1,1,142,23,85.434097,23.465164,85.324097,23.355164,150
10,5.0,1,9.307969804594672,34,164,2,0,181,28,76.692278,12.385461,76.632278,12.325461,75
4,4.9,1,9.176983903804434,21,114,3,0,127,14,73.964337,18.606258,73.904337,18.546258,90
15,3.7,0,13.611105169020725,37,172,2,0,190,43,73.248921,22.400237,73.158921,22.310237,165
1,4.5,2,7.562153377641838,22,125,1,0,139,40,73.220283,22.36279,73.170283,22.31279,70
1,4.8,4,9.067909956120758,37,103,3,0,117,0,88.426217,22.593662,88.366217,22.533662,110
5,3.9,3,10.983241696284244,37,151,1,2,169,7,0.07,0.07,0.0,0.0,33
10,4.9,4,1.512552702491675,34,3,2,0,6,36,73.177788,22.317898,73.167788,22.307898,105
0,3.8,2,12.395001965045855,35,125,1,1,141,21,80.298114,13.066047,80.218114,12.986047,215
14,4.1,5,9.204234841794865,26,155,2,0,172,36,78.407554,17.484114,78.347554,17.424114,115
1,4.8,1,3.109760789772788,36,42,0,2,49,18,76.964652,11.046117,76.944652,11.026117,165
4,4.7,4,2.9761321419028017,22,15,2,1,19,8,75.814592,26.925287,75.794592,26.905287,100
7,4.5,3,16.873857560165685,24,135,1,0,152,27,78.559654,17.52233,78.449654,17.41233,135
15,4.9,4,19.63077725461477,21,119,3,2,133,31,75.996699,22.881857,75.866699,22.751857,75
11,4.8,0,16.578948791660057,29,163,2,0,180,31,85.4272,23.443017,85.3172,23.333017,120
3,4.6,1,7.635343993283355,36,132,1,0,147,30,72.879976,19.17663,72.829976,19.12663,140
5,4.6,2,12.085461869670294,38,105,3,0,119,27,75.961991,22.731847,75.881991,22.651847,20
9,4.7,1,7.670211891676027,33,139,1,1,155,10,78.454423,17.478294,78.404423,17.428294,140
3,4.6,0,20.82757269749616,39,134,1,1,151,9,75.937282,27.051927,75.797282,26.911927,215
13,4.9,4,16.796560564485002,31,165,2,2,184,21,73.018493,19.231999,72.908493,19.121999,115
15,4.2,1,20.828113819012323,21,117,3,0,132,37,75.950753,27.04519,75.810753,26.90519,155
4,4.9,5,19.659207388740818,27,135,1,2,150,27,73.288921,22.440237,73.158921,22.310237,80
12,4.3,5,7.77451972836823,32,157,2,0,174,42,77.026268,11.051852,76.976268,11.001852,125
3,5.0,5,6.276138627413788,24,87,3,2,97,4,0.04,0.04,0.0,0.0,100
5,4.7,5,4.654256824131882,37,160,2,1,177,38,76.695808,12.3385,76.665808,12.3085,26
6,4.0,5,10.88402836486565,38,124,1,0,138,23,77.054311,11.078638,76.984311,11.008638,245
12,4.6,3,9.308214731000808,21,133,1,0,148,26,76.714878,12.371072,76.654878,12.311072,70
10,4.7,2,3.099012302522494,21,32,2,1,39,40,77.616014,12.992161,77.596014,12.972161,90
10,5.0,2,9.17715767117613,25,101,3,1,114,16,73.957902,18.599299,73.897902,18.539299,135
11,4.7,1,20.827428182142093,39,113,3,0,126,11,75.89282,27.053726,75.75282,26.913726,220
3,4.9,4,4.464113950945344,34,102,3,2,114,40,75.840753,26.93519,75.810753,26.90519,110
10,4.6,3,7.432549975866955,37,134,1,1,149,2,78.094095,27.210934,78.044095,27.160934,165
